Trait_id	Trait	Category	Category_id
PPTO:0000496	branch initiation height	plant morphology trait	PPTO:0000009
PPTO:0000497	cadmium translocation coefficient	biochemical trait	PPTO:0000004
PPTO:0000498	canopy biomass yield	plant morphology trait	PPTO:0000009
PPTO:0000499	cellulose concentration	biochemical trait	PPTO:0000004
PPTO:0000500	disease status before harvest	abiotic stress trait	PPTO:0000013
PPTO:0000501	drought stress index	biotic stress trait	PPTO:0000007
PPTO:0000502	end of flowering	plant growth and development trait	PPTO:0000006
PPTO:0000503	erucic acid concentration	biochemical trait	PPTO:0000004
PPTO:0000504	erucic acid content	biochemical trait	PPTO:0000004
PPTO:0000505	final flowering stage	plant growth and development trait	PPTO:0000006
PPTO:0000506	flowering period	plant growth and development trait	PPTO:0000006
PPTO:0000507	glucosinolate concentration	biochemical trait	PPTO:0000004
